text,label
Add call the client to my to-do list,todo
Remember to finish the project report,todo
Schedule a reminder for attend the meeting,reminder
I need a reminder to attend the meeting at 8 PM,reminder
I need a reminder to attend the meeting at in the evening,reminder
Notes from today's meeting about deployment strategy,note
This is an idea about API design,note
The meeting went well and we discussed deployment strategy,note
Notes from today's meeting about system architecture,note
Notes from today's meeting about API design,note
Set a reminder to attend the meeting next Monday,reminder
I need a reminder to attend the meeting at in the evening,reminder
I need a reminder to submit the report at 8 PM,reminder
Make sure to review the code,todo
Notes from today's meeting about project timelines,note
Schedule a reminder for submit the report,reminder
The meeting went well and we discussed API design,note
Notes from today's meeting about system architecture,note
Add call the client to my to-do list,todo
Thoughts on project timelines,note
I need a reminder to take medicine at 8 PM,reminder
Discussion summary regarding system architecture,note
Add call the client to my to-do list,todo
I need a reminder to submit the report at next Monday,reminder
I need a reminder to attend the meeting at tomorrow,reminder
I need a reminder to attend the meeting at 8 PM,reminder
I should call the client,todo
Thoughts on future development,note
I should submit the assignment,todo
Schedule a reminder for call John,reminder
Remember to buy groceries,todo
Please buy groceries,todo
Please review the code,todo
Thoughts on project timelines,note
Thoughts on system architecture,note
Schedule a reminder for submit the report,reminder
Set a reminder to submit the report next Monday,reminder
I need a reminder to call John at in the evening,reminder
Add finish the project report to my to-do list,todo
This is an idea about deployment strategy,note
Set a reminder to attend the meeting tomorrow,reminder
Discussion summary regarding deployment strategy,note
Notes from today's meeting about deployment strategy,note
Thoughts on API design,note
Schedule a reminder for take medicine,reminder
I should submit the assignment,todo
Don't let me forget to attend the meeting at tomorrow,reminder
I need a reminder to attend the meeting at tomorrow,reminder
Schedule a reminder for attend the meeting,reminder
Don't let me forget to take medicine at tomorrow,reminder
This is an idea about project timelines,note
I need to buy groceries,todo
Set a reminder to submit the report next Monday,reminder
This is an idea about project timelines,note
The meeting went well and we discussed deployment strategy,note
Don't let me forget to attend the meeting at tomorrow,reminder
I need to review the code,todo
Add buy groceries to my to-do list,todo
Set a reminder to attend the meeting in the evening,reminder
Remember to call the client,todo
Don't let me forget to take medicine at tomorrow,reminder
Set a reminder to call John next Monday,reminder
Please finish the project report,todo
Remind me to take medicine at tomorrow,reminder
Add call the client to my to-do list,todo
Schedule a reminder for call John,reminder
This is an idea about deployment strategy,note
The meeting went well and we discussed system architecture,note
Discussion summary regarding future development,note
Add call the client to my to-do list,todo
Remember to finish the project report,todo
I need to finish the project report,todo
